age,education,occupation,hours-per-week,gender,salary
65,Prof-school,Exec-managerial,10,Male,>50K
62,Doctorate,Prof-specialty,50,Male,<=50K
39,Masters,Prof-specialty,45,Male,>50K
36,Some-college,Sales,40,Male,<=50K
59,HS-grad,Craft-repair,40,Male,<=50K
23,Assoc-voc,Adm-clerical,40,Female,<=50K
32,Some-college,Craft-repair,50,Male,>50K
22,HS-grad,Craft-repair,40,Male,<=50K
66,HS-grad,?,40,Female,<=50K
28,Some-college,Adm-clerical,50,Male,>50K
34,HS-grad,?,40,Female,<=50K
19,HS-grad,Craft-repair,40,Male,<=50K
54,Prof-school,Prof-specialty,40,Male,>50K
36,Some-college,Sales,15,Female,>50K
70,5th-6th,?,40,Male,<=50K
50,HS-grad,Craft-repair,40,Male,<=50K
17,11th,Exec-managerial,20,Female,<=50K
53,Bachelors,Sales,48,Male,>50K
41,Assoc-voc,Sales,55,Male,<=50K
26,10th,Handlers-cleaners,40,Male,<=50K
59,Some-college,Adm-clerical,43,Male,<=50K
17,11th,Transport-moving,40,Male,<=50K
30,Some-college,Adm-clerical,40,Female,>50K
33,HS-grad,Machine-op-inspct,55,Male,<=50K
40,Some-college,Tech-support,32,Female,<=50K
48,Assoc-voc,Prof-specialty,50,Male,<=50K
47,Bachelors,Adm-clerical,40,Female,<=50K
38,HS-grad,Machine-op-inspct,40,Male,<=50K
30,Masters,Prof-specialty,60,Female,>50K
47,HS-grad,Craft-repair,40,Female,<=50K
41,HS-grad,Protective-serv,40,Male,<=50K
20,HS-grad,Adm-clerical,40,Female,<=50K
29,Some-college,Adm-clerical,40,Female,<=50K
36,HS-grad,Exec-managerial,38,Male,<=50K
18,Some-college,Other-service,40,Female,<=50K
35,HS-grad,Handlers-cleaners,48,Male,>50K
41,HS-grad,Other-service,40,Female,<=50K
23,HS-grad,Machine-op-inspct,40,Male,<=50K
39,Assoc-acdm,Craft-repair,35,Male,>50K
46,Some-college,Adm-clerical,40,Male,<=50K
45,Assoc-acdm,Prof-specialty,43,Female,<=50K
53,7th-8th,Craft-repair,40,Male,<=50K
54,HS-grad,Other-service,30,Female,<=50K
48,Some-college,Transport-moving,40,Male,<=50K
32,Bachelors,Craft-repair,35,Female,<=50K
31,Some-college,Exec-managerial,60,Female,<=50K
43,Masters,Prof-specialty,40,Male,>50K
43,HS-grad,Sales,60,Male,>50K
28,HS-grad,Craft-repair,50,Male,<=50K
46,Assoc-acdm,Exec-managerial,40,Female,<=50K
34,HS-grad,Handlers-cleaners,40,Male,<=50K
73,HS-grad,?,10,Male,<=50K
25,Bachelors,Prof-specialty,35,Male,<=50K
23,Some-college,Adm-clerical,15,Female,<=50K
32,Bachelors,Exec-managerial,45,Female,<=50K
37,HS-grad,Handlers-cleaners,40,Male,<=50K
36,HS-grad,Other-service,20,Female,<=50K
27,Some-college,Exec-managerial,40,Female,<=50K
29,Some-college,Adm-clerical,40,Male,<=50K
42,Some-college,Machine-op-inspct,40,Male,<=50K
24,Bachelors,Prof-specialty,40,Female,<=50K
29,Some-college,?,35,Female,<=50K
22,11th,Farming-fishing,38,Female,<=50K
47,Doctorate,Sales,60,Male,<=50K
43,Some-college,Other-service,40,Female,<=50K
65,HS-grad,?,8,Female,<=50K
56,Bachelors,Other-service,40,Male,<=50K
54,HS-grad,Sales,50,Male,>50K
50,HS-grad,Machine-op-inspct,40,Male,<=50K
29,HS-grad,Craft-repair,45,Male,>50K
32,Some-college,Farming-fishing,65,Male,<=50K
37,HS-grad,Craft-repair,44,Male,<=50K
30,Bachelors,Other-service,40,Male,<=50K
30,Bachelors,Prof-specialty,40,Female,>50K
39,HS-grad,Craft-repair,40,Male,<=50K
23,HS-grad,Adm-clerical,40,Female,<=50K
32,HS-grad,Craft-repair,40,Male,<=50K
37,Masters,Exec-managerial,40,Male,>50K
20,HS-grad,Farming-fishing,40,Male,<=50K
33,Some-college,Adm-clerical,50,Female,<=50K
42,HS-grad,Transport-moving,99,Male,<=50K
56,Bachelors,Adm-clerical,60,Female,<=50K
40,Doctorate,Prof-specialty,55,Male,<=50K
38,10th,Adm-clerical,40,Female,<=50K
49,Some-college,Prof-specialty,30,Male,<=50K
18,Some-college,Other-service,20,Male,<=50K
42,Some-college,Adm-clerical,40,Male,>50K
25,Some-college,Protective-serv,40,Female,<=50K
38,Some-college,Tech-support,40,Female,>50K
26,Bachelors,Machine-op-inspct,40,Female,<=50K
26,Bachelors,Prof-specialty,90,Male,>50K
33,HS-grad,Transport-moving,61,Male,<=50K
25,Some-college,Protective-serv,40,Male,<=50K
18,HS-grad,Machine-op-inspct,40,Male,<=50K
59,HS-grad,Machine-op-inspct,40,Male,<=50K
69,Some-college,Sales,45,Male,>50K
22,Bachelors,Prof-specialty,40,Female,<=50K
40,11th,Handlers-cleaners,40,Male,<=50K
40,Some-college,Craft-repair,40,Male,<=50K
33,Some-college,Craft-repair,40,Male,<=50K
51,10th,Farming-fishing,60,Male,>50K
73,Some-college,?,38,Male,<=50K
59,HS-grad,Adm-clerical,35,Female,<=50K
20,HS-grad,Craft-repair,40,Male,<=50K
37,Assoc-acdm,Tech-support,46,Male,<=50K
51,HS-grad,Exec-managerial,40,Male,>50K
24,Bachelors,Sales,25,Female,<=50K
59,10th,Handlers-cleaners,40,Male,<=50K
21,HS-grad,Machine-op-inspct,35,Female,<=50K
45,5th-6th,Craft-repair,40,Male,<=50K
25,Some-college,Sales,25,Female,<=50K
29,11th,Machine-op-inspct,42,Male,<=50K
22,Assoc-acdm,Adm-clerical,40,Female,<=50K
66,10th,?,40,Female,<=50K
72,Masters,Prof-specialty,60,Male,>50K
39,Assoc-voc,Protective-serv,40,Male,>50K
36,HS-grad,Craft-repair,40,Male,>50K
65,Assoc-voc,Craft-repair,20,Male,<=50K
63,HS-grad,Sales,30,Female,<=50K
58,Some-college,Adm-clerical,40,Female,<=50K
27,Assoc-voc,Adm-clerical,40,Female,<=50K
58,10th,Protective-serv,40,Female,<=50K
52,Some-college,Craft-repair,40,Male,<=50K
37,Some-college,Craft-repair,40,Male,>50K
21,Some-college,?,40,Female,<=50K
61,HS-grad,Sales,50,Male,<=50K
29,Assoc-voc,Adm-clerical,40,Female,<=50K
19,Some-college,?,30,Male,<=50K
30,Assoc-voc,Craft-repair,40,Female,<=50K
32,HS-grad,Craft-repair,40,Male,<=50K
47,HS-grad,Handlers-cleaners,40,Male,>50K
50,HS-grad,Machine-op-inspct,40,Female,<=50K
39,Bachelors,Handlers-cleaners,37,Female,<=50K
57,HS-grad,Craft-repair,40,Male,<=50K
40,HS-grad,Adm-clerical,50,Female,<=50K
27,Some-college,Adm-clerical,50,Female,<=50K
28,Some-college,Other-service,37,Male,<=50K
49,Bachelors,Exec-managerial,35,Female,>50K
33,HS-grad,Craft-repair,45,Male,<=50K
64,10th,Machine-op-inspct,40,Male,<=50K
46,Some-college,Exec-managerial,60,Female,<=50K
50,Some-college,Exec-managerial,50,Male,>50K
43,Masters,Sales,60,Male,<=50K
26,Some-college,Other-service,40,Female,<=50K
33,Some-college,Machine-op-inspct,50,Male,<=50K
50,Some-college,Craft-repair,40,Male,<=50K
38,1st-4th,Farming-fishing,40,Male,<=50K
28,Bachelors,Exec-managerial,50,Male,<=50K
21,Some-college,Other-service,40,Male,<=50K
38,Bachelors,Sales,45,Male,>50K
17,10th,Sales,10,Female,<=50K
19,HS-grad,Other-service,40,Female,<=50K
45,Prof-school,Prof-specialty,38,Male,>50K
27,11th,Prof-specialty,50,Female,<=50K
45,12th,Farming-fishing,40,Male,<=50K
46,Some-college,Other-service,40,Female,<=50K
57,Some-college,Craft-repair,40,Male,<=50K
39,HS-grad,Craft-repair,40,Male,<=50K
34,Bachelors,Prof-specialty,40,Female,>50K
18,Some-college,?,10,Male,<=50K
65,Some-college,?,20,Male,<=50K
26,10th,Craft-repair,24,Male,<=50K
44,HS-grad,Prof-specialty,40,Male,>50K
38,Some-college,Protective-serv,40,Female,<=50K
49,Assoc-voc,Prof-specialty,40,Female,<=50K
41,HS-grad,Adm-clerical,40,Female,<=50K
52,HS-grad,Machine-op-inspct,40,Female,<=50K
30,9th,Farming-fishing,40,Male,<=50K
72,7th-8th,Other-service,40,Female,<=50K
48,Bachelors,Prof-specialty,42,Male,>50K
32,Assoc-voc,Craft-repair,50,Male,>50K
22,Bachelors,Prof-specialty,50,Male,<=50K
24,Some-college,Handlers-cleaners,35,Female,<=50K
24,Some-college,Other-service,36,Female,<=50K
55,9th,Transport-moving,48,Female,<=50K
48,HS-grad,Adm-clerical,40,Male,<=50K
42,HS-grad,Exec-managerial,40,Male,<=50K
34,Masters,Other-service,30,Male,<=50K
40,HS-grad,Exec-managerial,42,Male,<=50K
29,Some-college,?,15,Female,<=50K
39,Some-college,Adm-clerical,20,Female,>50K
45,Bachelors,Craft-repair,50,Male,<=50K
21,Some-college,Adm-clerical,43,Male,<=50K
36,Masters,Tech-support,40,Male,>50K
28,HS-grad,Handlers-cleaners,40,Female,<=50K
57,HS-grad,Adm-clerical,40,Female,<=50K
22,Assoc-acdm,Adm-clerical,40,Female,<=50K
31,HS-grad,Adm-clerical,8,Female,<=50K
23,Assoc-voc,Prof-specialty,50,Female,<=50K
35,Some-college,Exec-managerial,45,Male,>50K
28,Bachelors,Sales,40,Male,<=50K
27,Some-college,Machine-op-inspct,50,Male,<=50K
76,7th-8th,?,5,Male,<=50K
37,Some-college,Tech-support,50,Male,<=50K
43,HS-grad,Other-service,40,Female,<=50K
33,Masters,Exec-managerial,55,Male,>50K
56,HS-grad,Machine-op-inspct,40,Male,<=50K
50,HS-grad,Exec-managerial,50,Male,>50K
35,HS-grad,Sales,40,Female,<=50K
36,Bachelors,Tech-support,40,Male,<=50K
59,Prof-school,Prof-specialty,35,Male,>50K
42,Doctorate,Exec-managerial,60,Male,<=50K
21,Some-college,Sales,30,Female,<=50K
24,Some-college,Exec-managerial,40,Male,<=50K
17,10th,?,30,Female,<=50K
29,Bachelors,Prof-specialty,40,Female,<=50K
61,Doctorate,Prof-specialty,40,Male,>50K
35,HS-grad,Machine-op-inspct,48,Female,<=50K
56,Assoc-voc,Prof-specialty,40,Male,<=50K
44,Bachelors,Craft-repair,40,Male,>50K
22,HS-grad,?,10,Male,<=50K
45,HS-grad,Exec-managerial,40,Male,>50K
40,Some-college,Exec-managerial,36,Female,<=50K
22,HS-grad,?,40,Male,<=50K
28,5th-6th,Other-service,52,Male,<=50K
46,Masters,Prof-specialty,56,Male,<=50K
57,HS-grad,Farming-fishing,40,Male,<=50K
41,HS-grad,Adm-clerical,30,Female,<=50K
30,HS-grad,Adm-clerical,40,Female,<=50K
21,Some-college,Prof-specialty,40,Female,<=50K
62,Masters,Exec-managerial,50,Male,>50K
19,Some-college,Transport-moving,32,Male,<=50K
63,HS-grad,Exec-managerial,38,Female,>50K
39,HS-grad,Farming-fishing,70,Male,<=50K
72,Some-college,?,8,Female,<=50K
40,Masters,Prof-specialty,55,Male,<=50K
27,HS-grad,Handlers-cleaners,35,Male,<=50K
47,Assoc-acdm,Exec-managerial,25,Male,<=50K
28,HS-grad,Sales,40,Male,<=50K
27,Some-college,Sales,40,Male,<=50K
26,HS-grad,Exec-managerial,25,Male,<=50K
59,HS-grad,Prof-specialty,60,Female,<=50K
33,Some-college,Sales,40,Male,<=50K
35,11th,Machine-op-inspct,40,Female,<=50K
57,HS-grad,Adm-clerical,40,Male,>50K
30,Assoc-acdm,Adm-clerical,40,Female,<=50K
31,Masters,Exec-managerial,55,Male,>50K
24,Some-college,Handlers-cleaners,30,Male,<=50K
36,7th-8th,Farming-fishing,55,Male,<=50K
46,Some-college,Exec-managerial,40,Female,<=50K
38,Assoc-voc,Adm-clerical,40,Female,<=50K
19,Some-college,Prof-specialty,15,Female,<=50K
33,HS-grad,Exec-managerial,60,Male,>50K
59,Prof-school,Prof-specialty,60,Male,>50K
32,HS-grad,Craft-repair,46,Male,>50K
58,HS-grad,Machine-op-inspct,40,Male,<=50K
19,12th,Craft-repair,47,Male,<=50K
43,HS-grad,Sales,40,Female,<=50K
20,HS-grad,Craft-repair,40,Male,<=50K
56,HS-grad,Exec-managerial,40,Male,>50K
57,HS-grad,Adm-clerical,40,Female,<=50K
42,Prof-school,Prof-specialty,80,Male,>50K
62,10th,Machine-op-inspct,40,Male,<=50K
37,HS-grad,Machine-op-inspct,45,Male,<=50K
34,Bachelors,Craft-repair,40,Male,<=50K
24,Some-college,Sales,40,Male,<=50K
78,1st-4th,Handlers-cleaners,20,Male,<=50K
43,Bachelors,Adm-clerical,50,Male,<=50K
60,HS-grad,Other-service,40,Male,<=50K
39,HS-grad,Protective-serv,40,Male,>50K
21,HS-grad,Craft-repair,35,Male,<=50K
64,HS-grad,?,20,Male,<=50K
27,Bachelors,Exec-managerial,40,Female,<=50K
44,HS-grad,Prof-specialty,39,Female,<=50K
37,1st-4th,Other-service,35,Female,<=50K
31,HS-grad,Other-service,40,Male,<=50K
27,Bachelors,Prof-specialty,40,Female,<=50K
31,HS-grad,Machine-op-inspct,40,Female,<=50K
37,Bachelors,Sales,50,Male,>50K
43,Bachelors,Tech-support,40,Male,>50K
18,Some-college,Other-service,16,Male,<=50K
23,Assoc-voc,Adm-clerical,30,Female,<=50K
40,7th-8th,Handlers-cleaners,40,Male,<=50K
22,Preschool,Other-service,20,Female,<=50K
61,Bachelors,Sales,45,Male,>50K
63,Some-college,Exec-managerial,40,Female,<=50K
59,Bachelors,Sales,55,Male,>50K
33,Some-college,Machine-op-inspct,54,Male,>50K
51,HS-grad,Other-service,40,Male,>50K
38,HS-grad,Protective-serv,40,Male,>50K
52,HS-grad,Adm-clerical,40,Female,>50K
47,HS-grad,Sales,55,Male,>50K
20,Some-college,Adm-clerical,10,Female,<=50K
53,Bachelors,Sales,50,Male,<=50K
43,HS-grad,Machine-op-inspct,40,Female,<=50K
26,10th,Exec-managerial,75,Male,>50K
39,HS-grad,Transport-moving,37,Female,<=50K
30,HS-grad,Handlers-cleaners,60,Male,<=50K
45,Bachelors,Exec-managerial,50,Male,>50K
25,HS-grad,Transport-moving,40,Male,<=50K
45,Bachelors,Sales,50,Male,<=50K
25,Bachelors,Prof-specialty,55,Female,<=50K
48,Assoc-acdm,Prof-specialty,38,Male,>50K
32,HS-grad,Craft-repair,40,Male,<=50K
67,Some-college,?,20,Male,<=50K
37,HS-grad,Adm-clerical,40,Male,<=50K
51,Some-college,Exec-managerial,30,Female,>50K
28,Some-college,Other-service,40,Female,>50K
28,Bachelors,Other-service,50,Female,<=50K
28,HS-grad,Craft-repair,48,Male,<=50K
22,HS-grad,Other-service,40,Female,<=50K
32,Assoc-voc,Adm-clerical,40,Male,<=50K
35,Some-college,?,40,Male,<=50K
32,Bachelors,Adm-clerical,50,Female,<=50K
27,Masters,Tech-support,50,Male,<=50K
54,HS-grad,Adm-clerical,45,Female,<=50K
66,Prof-school,Prof-specialty,20,Male,<=50K
41,1st-4th,Handlers-cleaners,40,Male,<=50K
46,Bachelors,Prof-specialty,50,Male,>50K
39,Some-college,Exec-managerial,45,Male,>50K
51,Assoc-acdm,Prof-specialty,40,Female,>50K
26,Some-college,Prof-specialty,40,Male,<=50K
53,HS-grad,Priv-house-serv,50,Female,<=50K
38,Some-college,Adm-clerical,27,Male,<=50K
30,HS-grad,Farming-fishing,40,Male,<=50K
18,HS-grad,Other-service,20,Female,<=50K
44,Prof-school,?,80,Male,<=50K
56,Masters,Prof-specialty,50,Male,>50K
41,5th-6th,Craft-repair,96,Male,<=50K
42,Bachelors,Other-service,40,Male,<=50K
44,9th,Priv-house-serv,50,Female,<=50K
33,HS-grad,Other-service,40,Female,<=50K
43,Some-college,Tech-support,45,Male,<=50K
21,Some-college,Sales,40,Male,<=50K
45,HS-grad,Adm-clerical,40,Female,<=50K
38,HS-grad,Sales,70,Male,>50K
38,Masters,Exec-managerial,38,Female,<=50K
33,10th,Craft-repair,40,Male,<=50K
27,HS-grad,Exec-managerial,45,Male,>50K
33,HS-grad,Machine-op-inspct,40,Female,<=50K
43,Some-college,Transport-moving,40,Male,>50K
38,Bachelors,Exec-managerial,50,Male,<=50K
50,HS-grad,Craft-repair,51,Male,>50K
57,Some-college,Prof-specialty,40,Male,>50K
76,HS-grad,Exec-managerial,2,Female,<=50K
52,HS-grad,Transport-moving,70,Male,<=50K
36,HS-grad,Exec-managerial,50,Male,<=50K
30,Some-college,Sales,50,Male,<=50K
39,HS-grad,Exec-managerial,45,Female,<=50K
51,Some-college,Exec-managerial,40,Male,>50K
31,HS-grad,Sales,40,Female,<=50K
56,11th,Sales,55,Male,<=50K
28,Some-college,Adm-clerical,40,Male,<=50K
38,Some-college,Sales,40,Female,<=50K
49,Bachelors,Sales,50,Male,>50K
40,HS-grad,Prof-specialty,40,Male,>50K
23,Some-college,Tech-support,40,Female,<=50K
44,Masters,Prof-specialty,40,Female,<=50K
36,Bachelors,Adm-clerical,40,Female,>50K
31,HS-grad,Adm-clerical,40,Male,<=50K
24,Some-college,Sales,40,Male,<=50K
35,Some-college,Adm-clerical,38,Female,<=50K
45,Some-college,Sales,60,Male,>50K
46,Doctorate,Prof-specialty,40,Male,>50K
57,HS-grad,Priv-house-serv,30,Male,<=50K
20,HS-grad,Handlers-cleaners,20,Male,<=50K
30,9th,Exec-managerial,40,Female,<=50K
60,HS-grad,Exec-managerial,27,Female,<=50K
42,Masters,Prof-specialty,40,Male,<=50K
25,Some-college,Exec-managerial,45,Female,>50K
27,Bachelors,Exec-managerial,40,Female,>50K
59,Masters,Prof-specialty,60,Female,<=50K
18,12th,Other-service,30,Female,<=50K
26,HS-grad,?,84,Female,<=50K
48,Some-college,Exec-managerial,50,Male,>50K
41,HS-grad,Craft-repair,40,Male,<=50K
20,HS-grad,?,32,Female,<=50K
36,Bachelors,Sales,40,Female,<=50K
44,Bachelors,Farming-fishing,55,Male,>50K
36,Some-college,Adm-clerical,40,Female,<=50K
32,Assoc-acdm,Handlers-cleaners,60,Male,<=50K
26,Bachelors,Prof-specialty,25,Male,<=50K
58,Assoc-voc,Prof-specialty,45,Female,<=50K
39,Bachelors,Prof-specialty,40,Female,<=50K
19,Some-college,?,30,Male,<=50K
39,HS-grad,Craft-repair,55,Male,<=50K
65,HS-grad,Craft-repair,40,Male,<=50K
29,Some-college,Tech-support,20,Female,<=50K
22,HS-grad,?,40,Male,<=50K
23,Bachelors,Prof-specialty,25,Female,<=50K
36,Bachelors,Tech-support,42,Male,<=50K
32,Bachelors,Other-service,40,Male,<=50K
30,HS-grad,Adm-clerical,40,Female,<=50K
38,Bachelors,Adm-clerical,40,Male,>50K
25,Some-college,Craft-repair,40,Male,<=50K
41,Bachelors,Exec-managerial,40,Male,>50K
31,HS-grad,Tech-support,40,Female,<=50K
66,HS-grad,Craft-repair,15,Female,<=50K
35,Some-college,Craft-repair,40,Male,<=50K
36,7th-8th,Farming-fishing,35,Male,<=50K
17,10th,Other-service,16,Female,<=50K
31,Some-college,Craft-repair,40,Male,<=50K
20,HS-grad,Machine-op-inspct,40,Female,<=50K
25,Bachelors,Sales,40,Female,<=50K
59,Some-college,Sales,70,Male,<=50K
37,Assoc-acdm,Exec-managerial,45,Male,<=50K
42,Some-college,Craft-repair,48,Male,>50K
31,Bachelors,Prof-specialty,40,Female,<=50K
32,12th,Sales,45,Female,<=50K
46,HS-grad,Transport-moving,60,Male,<=50K
36,1st-4th,Other-service,40,Male,<=50K
45,Bachelors,Adm-clerical,38,Male,>50K
19,Some-college,Other-service,20,Male,<=50K
38,Assoc-acdm,Other-service,25,Female,<=50K
27,HS-grad,Protective-serv,45,Male,<=50K
33,Assoc-voc,Adm-clerical,40,Female,<=50K
55,9th,Sales,58,Male,<=50K
46,Masters,Prof-specialty,40,Female,<=50K
29,11th,Machine-op-inspct,40,Male,<=50K
22,Some-college,Adm-clerical,36,Female,<=50K
59,Masters,Prof-specialty,50,Male,>50K
36,Bachelors,Prof-specialty,50,Male,>50K
27,Bachelors,Prof-specialty,50,Female,<=50K
21,Assoc-acdm,Prof-specialty,36,Female,<=50K
65,Some-college,?,45,Male,>50K
29,Bachelors,Exec-managerial,50,Female,<=50K
53,Bachelors,Sales,40,Male,>50K
20,Some-college,Transport-moving,60,Male,<=50K
54,Some-college,Sales,40,Male,<=50K
32,Some-college,Machine-op-inspct,40,Male,<=50K
18,11th,Other-service,16,Male,<=50K
26,Some-college,Adm-clerical,38,Male,<=50K
55,Assoc-voc,Exec-managerial,48,Male,>50K
40,Bachelors,Prof-specialty,50,Male,<=50K
37,Assoc-acdm,Protective-serv,42,Male,<=50K
23,HS-grad,Craft-repair,40,Male,<=50K
45,Some-college,Adm-clerical,38,Male,<=50K
42,Doctorate,Prof-specialty,99,Male,>50K
66,Assoc-voc,Craft-repair,38,Male,<=50K
30,Bachelors,Exec-managerial,40,Male,>50K
25,Bachelors,?,35,Female,<=50K
20,12th,Other-service,35,Male,>50K
37,HS-grad,Transport-moving,50,Male,<=50K
20,HS-grad,Other-service,38,Female,<=50K
27,HS-grad,Machine-op-inspct,40,Male,<=50K
20,Some-college,?,35,Male,<=50K
33,Assoc-acdm,Exec-managerial,50,Male,<=50K
53,7th-8th,Machine-op-inspct,40,Male,<=50K
54,9th,Machine-op-inspct,35,Male,<=50K
33,Bachelors,Sales,40,Male,<=50K
22,10th,Handlers-cleaners,40,Male,<=50K
39,Some-college,Sales,40,Male,<=50K
23,Some-college,Adm-clerical,25,Female,<=50K
20,Some-college,Handlers-cleaners,40,Male,<=50K
19,Some-college,Other-service,18,Male,<=50K
24,Assoc-voc,Exec-managerial,60,Female,<=50K
32,Masters,Prof-specialty,50,Male,>50K
38,Some-college,Other-service,40,Male,<=50K
34,Some-college,Tech-support,40,Female,<=50K
39,Some-college,Tech-support,35,Male,>50K
40,Assoc-voc,?,40,Female,<=50K
45,Bachelors,Exec-managerial,45,Male,>50K
21,HS-grad,Other-service,40,Male,<=50K
49,Doctorate,Tech-support,40,Male,>50K
44,HS-grad,Transport-moving,40,Male,<=50K
18,HS-grad,Other-service,35,Female,<=50K
42,Bachelors,Exec-managerial,40,Male,<=50K
49,11th,Craft-repair,40,Male,<=50K
51,HS-grad,Transport-moving,40,Male,>50K
20,11th,Other-service,25,Male,<=50K
41,11th,Craft-repair,40,Male,<=50K
25,Some-college,Exec-managerial,75,Male,<=50K
27,HS-grad,Transport-moving,40,Male,<=50K
23,HS-grad,Other-service,40,Male,<=50K
37,HS-grad,Other-service,40,Male,<=50K
22,Bachelors,Prof-specialty,10,Female,<=50K
21,HS-grad,Protective-serv,11,Male,<=50K
24,HS-grad,Handlers-cleaners,40,Male,<=50K
62,HS-grad,?,40,Male,<=50K
70,HS-grad,?,8,Female,<=50K
61,HS-grad,Transport-moving,40,Male,<=50K
63,Some-college,Other-service,24,Male,<=50K
31,Some-college,Other-service,40,Female,<=50K
17,11th,Sales,15,Female,<=50K
23,Some-college,Handlers-cleaners,40,Male,<=50K
40,Some-college,Craft-repair,40,Male,<=50K
47,Some-college,Adm-clerical,72,Female,<=50K
55,9th,Sales,45,Male,<=50K
37,Some-college,Craft-repair,50,Male,<=50K
48,Bachelors,Sales,38,Female,>50K
67,HS-grad,Priv-house-serv,99,Female,<=50K
72,Some-college,Other-service,40,Male,<=50K
31,Some-college,Protective-serv,40,Male,<=50K
24,Some-college,Craft-repair,45,Male,<=50K
27,Bachelors,Prof-specialty,45,Female,<=50K
32,12th,Farming-fishing,40,Male,<=50K
61,Assoc-acdm,Exec-managerial,50,Male,>50K
34,HS-grad,Craft-repair,40,Male,<=50K
40,Assoc-voc,Handlers-cleaners,40,Male,<=50K
39,Assoc-voc,Tech-support,40,Female,<=50K
49,Prof-school,Prof-specialty,35,Male,>50K
57,7th-8th,Exec-managerial,90,Male,>50K
47,Some-college,Sales,45,Male,>50K
38,Assoc-acdm,Sales,35,Female,<=50K
77,7th-8th,Farming-fishing,40,Male,<=50K
20,Some-college,Tech-support,8,Female,<=50K
37,10th,Craft-repair,30,Male,<=50K
43,Assoc-acdm,Exec-managerial,45,Male,>50K
50,HS-grad,Other-service,45,Female,<=50K
68,7th-8th,Other-service,40,Female,<=50K
55,HS-grad,Adm-clerical,40,Female,<=50K
52,Masters,Prof-specialty,45,Male,>50K
24,HS-grad,Other-service,37,Male,<=50K
42,Bachelors,Adm-clerical,60,Male,<=50K
51,HS-grad,Handlers-cleaners,40,Male,<=50K
26,HS-grad,Handlers-cleaners,40,Female,<=50K
32,Bachelors,Exec-managerial,40,Female,>50K
51,Some-college,Adm-clerical,40,Female,<=50K
26,HS-grad,Handlers-cleaners,40,Male,<=50K
46,Some-college,Sales,8,Male,<=50K
27,HS-grad,Adm-clerical,35,Female,<=50K
29,Bachelors,Sales,40,Male,<=50K
71,7th-8th,Farming-fishing,40,Male,>50K
30,HS-grad,Other-service,40,Male,>50K
42,Some-college,Craft-repair,52,Male,<=50K
39,HS-grad,Exec-managerial,60,Male,>50K
17,11th,Farming-fishing,18,Female,<=50K
20,Some-college,Adm-clerical,35,Female,<=50K
37,HS-grad,Machine-op-inspct,40,Male,<=50K
40,Assoc-acdm,Prof-specialty,40,Male,<=50K
27,Assoc-acdm,Other-service,42,Male,<=50K
19,10th,Other-service,40,Male,<=50K
29,Some-college,Protective-serv,40,Male,<=50K
42,HS-grad,Adm-clerical,36,Female,>50K
31,Bachelors,Adm-clerical,40,Male,>50K
41,HS-grad,Tech-support,40,Male,<=50K
21,HS-grad,Adm-clerical,40,Female,<=50K
46,Some-college,Machine-op-inspct,50,Male,>50K
21,Some-college,?,40,Female,<=50K
37,Masters,Exec-managerial,50,Female,>50K
41,Bachelors,Exec-managerial,45,Female,<=50K
50,HS-grad,Adm-clerical,36,Female,<=50K
34,12th,Sales,34,Female,<=50K
47,1st-4th,Machine-op-inspct,40,Male,<=50K
21,HS-grad,Exec-managerial,40,Female,<=50K
49,Doctorate,Exec-managerial,40,Male,>50K
38,Masters,Exec-managerial,40,Female,>50K
43,Masters,Exec-managerial,40,Male,>50K
40,Bachelors,Exec-managerial,40,Male,<=50K
48,HS-grad,Exec-managerial,70,Male,>50K
30,HS-grad,Exec-managerial,40,Female,<=50K
38,Assoc-acdm,Adm-clerical,38,Female,<=50K
31,HS-grad,?,45,Female,<=50K
30,Bachelors,Prof-specialty,40,Female,<=50K
37,HS-grad,Adm-clerical,38,Male,<=50K
28,Masters,Sales,42,Male,<=50K
57,Some-college,Craft-repair,40,Male,<=50K
25,Some-college,Craft-repair,40,Male,<=50K
40,Assoc-acdm,Adm-clerical,40,Female,<=50K
49,HS-grad,Machine-op-inspct,40,Male,<=50K
44,Some-college,Tech-support,40,Male,>50K
44,HS-grad,Other-service,40,Female,<=50K
18,10th,Craft-repair,40,Male,<=50K
45,HS-grad,Other-service,31,Male,<=50K
50,Doctorate,Exec-managerial,55,Male,>50K
17,12th,Adm-clerical,16,Female,<=50K
28,HS-grad,Craft-repair,40,Male,<=50K
38,Some-college,Adm-clerical,40,Female,<=50K
43,HS-grad,Craft-repair,37,Male,<=50K
48,HS-grad,Craft-repair,40,Male,<=50K
57,Assoc-voc,?,5,Female,<=50K
28,Assoc-acdm,Machine-op-inspct,40,Male,<=50K
46,HS-grad,Other-service,40,Male,<=50K
28,HS-grad,Machine-op-inspct,40,Female,<=50K
58,HS-grad,Craft-repair,40,Male,<=50K
23,Bachelors,Prof-specialty,40,Female,<=50K
57,HS-grad,Other-service,40,Female,<=50K
48,Masters,Prof-specialty,35,Male,>50K
49,Some-college,Machine-op-inspct,50,Male,>50K
40,Some-college,Craft-repair,60,Male,>50K
41,HS-grad,Machine-op-inspct,50,Male,<=50K
45,HS-grad,Handlers-cleaners,40,Male,<=50K
27,Some-college,Machine-op-inspct,50,Male,<=50K
22,Some-college,?,25,Male,<=50K
50,Masters,Exec-managerial,48,Male,>50K
